comportamento_clean,comportamento_canonico,canonical_behavior_id,comportamento_famiglia_originale,comportamento_famiglia,comportamento_famiglia_v2,comportamento_sottofamiglia_v2,meccanismo_rischio_v2,presidio_v2,severity_rank_v2,taxonomy_source,taxonomy_confidence,comportamento_tipo,row_count_kept,raw_variants_count,raw_variants,canonical_cluster_size,canonical_row_count_total,old_family_conflict,old_families_cluster,merge_source,merge_confidence,merge_note,review_flag
Controlla l'accoppiamento asta/frontale col dito fuori dalla traiettoria dell'SGM,Controlla l'accoppiamento asta/frontale col dito fuori dalla traiettoria dell'SGM,BEH_CONTROLLA_L_ACCOPPIAMENTO_ASTA_FRONTALE_CON_IL_DITO_FUORI__114D3F,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,343,1,Controlla l'accoppiamento asta/frontale col dito fuori dalla traiettoria dell'SGM,1,343,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Lavora con protezione/barriera chiusa o abbassata,Lavora con protezione/barriera chiusa o abbassata,BEH_LAVORA_CON_PROTEZIONE_BARRIERA_CHIUSA_O_ABBASSATA_3D10D5,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Protezioni / barriere / ripari,Schiacciamento / trascinamento / contatto con organi mobili,Integrità e rispetto barriere/ripari,1,rule_v2,high,behavior,343,1,Lavora con protezione/barriera chiusa o abbassata,1,343,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Guarda il cellulare/terminale/liste da fermo,Guarda il cellulare/terminale/liste da fermo,BEH_GUARDA_IL_CELLULARE_TERMINALE_LISTE_DA_FERMO_A086A5,Spostamenti / Attenzione,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Spostamenti pedonali / attenzione / percorsi,Caduta in piano / urto / investimento,Rispetto percorsi e attenzione negli spostamenti,3,rule_v2,high,behavior,342,1,Guarda il cellulare/terminale/liste da fermo,1,342,no,Spostamenti / Attenzione,self,self,Nessun alias identificato.,
Fessure dei tavolini liberi da aste e attrezzi incastrati/sporgenti,Fessure dei tavolini liberi da aste e attrezzi incastrati/sporgenti,BEH_FESSURE_DEI_TAVOLINI_LIBERI_DA_ASTE_E_ATTREZZI_INCASTRATI__48C5CB,Stoccaggio / Materiali,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,340,1,Fessure dei tavolini liberi da aste e attrezzi incastrati/sporgenti,1,340,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
Mette i cappucci sugli utensili adiacenti al lavoro,Mette i cappucci sugli utensili adiacenti al lavoro,BEH_METTE_I_CAPPUCCI_SUGLI_UTENSILI_ADIACENTI_AL_LAVORO_780D8E,Utensili / Taglio / Aria Compressa,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,334,1,Mette i cappucci sugli utensili adiacenti al lavoro,1,334,no,Utensili / Taglio / Aria Compressa,self,self,Nessun alias identificato.,
Le scatole/couvette sugli scaffali/banchetti sono stabili e non sporgono,Le scatole/couvette sugli scaffali/banchetti sono stabili e non sporgono,BEH_LE_SCATOLE_COUVETTE_SUGLI_SCAFFALI_BANCHETTI_SONO_STABILI__C40AE8,Stoccaggio / Materiali,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Impilamento / stabilità / perimetro,Caduta materiale / urto / schiacciamento,Stoccaggio stabile e entro perimetro,2,rule_v2,high,behavior,325,1,Le scatole/couvette sugli scaffali/banchetti sono stabili e non sporgono,1,325,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
Lavora con la protezione abbassata,Lavora con la protezione abbassata,BEH_LAVORA_CON_LA_PROTEZIONE_ABBASSATA_67BA21,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Protezioni / barriere / ripari,Schiacciamento / trascinamento / contatto con organi mobili,Integrità e rispetto barriere/ripari,1,rule_v2,high,behavior,324,1,Lavora con la protezione abbassata,1,324,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Il gancio verde è appeso sull'apposito carrello o è fissato al banco mediante morsetto,Il gancio verde è appeso sull'apposito carrello o è fissato al banco mediante morsetto,BEH_IL_GANCIO_VERDE_E_APPESO_SULL_APPOSITO_CARRELLO_O_E_FISSAT_D3D5EF,Carrelli / Transpallet / Mezzi,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Ganci / telai / morsetti / golfari,Caduta materiale / schiacciamento,"Stato, fissaggio e uso corretto dispositivi di presa",2,rule_v2,high,behavior,317,1,Il gancio verde è appeso sull'apposito carrello o è fissato al banco mediante morsetto,1,317,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
Resta a un passo da chi lo precede,Resta a un passo da chi lo precede,BEH_RESTA_A_UN_PASSO_DA_CHI_LO_PRECEDE_35B17A,Spostamenti / Trasporto / Stoccaggio,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Trasporto / percorsi / stoccaggio operativo,Caduta materiale / urto / investimento,Trasporto e percorso sicuro,2,old_family_fallback_v2,medium,behavior,316,1,Resta a un passo da chi lo precede,1,316,no,Spostamenti / Trasporto / Stoccaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Interviene su macchina ferma e in sicurezza,Interviene su macchina ferma e in sicurezza,BEH_INTERVIENE_SU_MACCHINA_FERMA_E_IN_SICUREZZA_56448C,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,315,1,Interviene su macchina ferma e in sicurezza,1,315,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Il panetto/pasta rispetta le dimensioni per l'applicazione in sicurezza,Il panetto/pasta rispetta le dimensioni per l'applicazione in sicurezza,BEH_IL_PANETTO_PASTA_RISPETTA_LE_DIMENSIONI_PER_L_APPLICAZIONE_86CE0A,Produzione / Processo,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,314,1,Il panetto/pasta rispetta le dimensioni per l'applicazione in sicurezza,1,314,no,Produzione / Processo,self,self,Nessun alias identificato.,
Lavora senza guanti con elementi rotanti,Lavora senza guanti con elementi rotanti,BEH_LAVORA_SENZA_GUANTI_CON_ELEMENTI_ROTANTI_E5AE8E,DPI mani / protezioni,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Organi in movimento / divieto guanti,Impigliamento / trascinamento,Assetto personale sicuro vicino a parti rotanti,1,rule_v2,high,behavior,313,1,Lavora senza guanti con elementi rotanti,1,313,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
Tutti i contenitori delle sostanze chimiche sono integri e senza perdite,Tutti i contenitori delle sostanze chimiche sono integri e senza perdite,BEH_TUTTI_I_CONTENITORI_DELLE_SOSTANZE_CHIMICHE_SONO_INTEGRI_E_1891DF,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Contenitori / etichettatura / chiusura,Contatto o uso improprio sostanze,"Contenitori chiusi, idonei ed etichettati",1,rule_v2,high,behavior,309,1,Tutti i contenitori delle sostanze chimiche sono integri e senza perdite,1,309,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,
Ripone la siringa all'interno dell'apposito cilindro metallico quando non in uso,Ripone la siringa all'interno dell'apposito cilindro metallico quando non in uso,BEH_RIPONE_LA_SIRINGA_ALL_INTERNO_DELL_APPOSITO_CILINDRO_METAL_EBB14A,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,308,1,Ripone la siringa all'interno dell'apposito cilindro metallico quando non in uso,1,308,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Isola la macchina da fonti di energia per scaricare la macchina da energie residue (aria–acqua) prima di eseguire gli interventi,Isola la macchina da fonti di energia per scaricare la macchina da energie residue (aria–acqua) prima di eseguire gli interventi,BEH_ISOLA_LA_MACCHINA_DA_FONTI_DI_ENERGIA_PER_SCARICARE_LA_MAC_0A5293,Carrelli / Transpallet / Mezzi,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,305,1,Isola la macchina da fonti di energia per scaricare la macchina da energie residue (aria–acqua) prima di eseguire gli interventi,1,305,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
"Accumula le scatole nel compattatore, non accanto o nell'area","Accumula le scatole nel compattatore, non accanto o nell'area",BEH_ACCUMULA_LE_SCATOLE_NEL_COMPATTATORE_NON_ACCANTO_O_NELL_AR_8DCF8B,Macchine / Sicurezze / Attrezzaggio,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Materiali / scaffali / bancali,Caduta materiale / ingombro / urto,Stoccaggio e layout sicuro,3,rule_v2,high,behavior,303,1,"Accumula le scatole nel compattatore, non accanto o nell'area",1,303,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Avvita i golfari fino a fine corsa prima di sollevare,Avvita i golfari fino a fine corsa prima di sollevare,BEH_AVVITA_I_GOLFARI_FINO_A_FINE_CORSA_PRIMA_DI_SOLLEVARE_3F2496,Movimentazione Manuale / Ergonomia,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Ganci / telai / morsetti / golfari,Caduta materiale / schiacciamento,"Stato, fissaggio e uso corretto dispositivi di presa",2,rule_v2,high,behavior,242,1,Avvita i golfari fino a fine corsa prima di sollevare,2,303,no,Movimentazione Manuale / Ergonomia,semantic_rule,high,Accorpa presenza/assenza spiegazione tra parentesi.,
Avvita i golfari fino a fine corsa (il filetto del golfaro scompare interamente nello stampo) prima di sollevare,Avvita i golfari fino a fine corsa prima di sollevare,BEH_AVVITA_I_GOLFARI_FINO_A_FINE_CORSA_PRIMA_DI_SOLLEVARE_3F2496,Movimentazione Manuale / Ergonomia,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Ganci / telai / morsetti / golfari,Caduta materiale / schiacciamento,"Stato, fissaggio e uso corretto dispositivi di presa",2,rule_v2,high,behavior,61,1,Avvita i golfari fino a fine corsa (il filetto del golfaro scompare interamente nello stampo) prima di sollevare,2,303,no,Movimentazione Manuale / Ergonomia,semantic_rule,high,Accorpa presenza/assenza spiegazione tra parentesi.,
Falda impermeabile,Falda impermeabile,BEH_FALDA_IMPERMEABILE_AB0735,DPI / Abbigliamento,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,Indumenti protettivi / chimico-processo,Contatto sostanze / contaminazione,Uso indumenti protettivi idonei,2,rule_v2,high,behavior,263,1,Falda impermeabile,2,302,no,DPI / Abbigliamento,semantic_rule,high,Accorpa varianti falda impermeabile.,
Falda Impermeabile,Falda impermeabile,BEH_FALDA_IMPERMEABILE_AB0735,DPI / Abbigliamento,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,Indumenti protettivi / chimico-processo,Contatto sostanze / contaminazione,Uso indumenti protettivi idonei,2,rule_v2,high,behavior,39,1,Falda Impermeabile,2,302,no,DPI / Abbigliamento,semantic_rule,high,Accorpa varianti falda impermeabile.,
I contenitori delle sostanze chimiche sono integri e senza perdite,I contenitori delle sostanze chimiche sono integri e senza perdite,BEH_I_CONTENITORI_DELLE_SOSTANZE_CHIMICHE_SONO_INTEGRI_E_SENZA_6D8449,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Contenitori / etichettatura / chiusura,Contatto o uso improprio sostanze,"Contenitori chiusi, idonei ed etichettati",1,rule_v2,high,behavior,301,1,I contenitori delle sostanze chimiche sono integri e senza perdite,1,301,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,
Solleva i carichi con la schiena dritta e le ginocchia piegate,Solleva i carichi con la schiena dritta e le ginocchia piegate,BEH_SOLLEVA_I_CARICHI_CON_LA_SCHIENA_DRITTA_E_LE_GINOCCHIA_PIE_3A5E6B,Movimentazione Manuale / Ergonomia,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Sollevamento / trasporto manuale carichi,Sovraccarico muscolo-scheletrico / strappo,Tecnica di sollevamento e ausili,3,rule_v2,high,behavior,301,1,Solleva i carichi con la schiena dritta e le ginocchia piegate,1,301,no,Movimentazione Manuale / Ergonomia,self,self,Nessun alias identificato.,
Usa la fiamma con azionamento manuale,Usa la fiamma con azionamento manuale,BEH_USA_LA_FIAMMA_CON_AZIONAMENTO_MANUALE_F023FF,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,301,1,Usa la fiamma con azionamento manuale,1,301,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Allinea la montatura al punzone prima di avvitare,Allinea la montatura al punzone prima di avvitare,BEH_ALLINEA_LA_MONTATURA_AL_PUNZONE_PRIMA_DI_AVVITARE_768A0C,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,298,1,Allinea la montatura al punzone prima di avvitare,1,298,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Impugna la maniglia della serranda dell'essiccatore con il pugno chiuso e il pollice rivolto verso l'alto,Impugna la maniglia della serranda dell'essiccatore con il pugno chiuso e il pollice rivolto verso l'alto,BEH_IMPUGNA_LA_MANIGLIA_DELLA_SERRANDA_DELL_ESSICCATORE_CON_IL_A4B848,Produzione / Processo,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Forni / essiccatori / parti calde,Ustione / schiacciamento / rilascio energia,Uso corretto macchina e chiusure,1,rule_v2,high,behavior,296,1,Impugna la maniglia della serranda dell'essiccatore con il pugno chiuso e il pollice rivolto verso l'alto,1,296,no,Produzione / Processo,self,self,Nessun alias identificato.,
Ci sono due dadi adiacenti sul lato esterno di ciascuna ruota,Ci sono due dadi adiacenti sul lato esterno di ciascuna ruota,BEH_CI_SONO_DUE_DADI_ADIACENTI_SUL_LATO_ESTERNO_DI_CIASCUNA_RU_B7BA10,Produzione / Processo,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Processo produttivo / standard operativo,Urto / schiacciamento / perdita controllo processo,Standard operativo sicuro,2,old_family_fallback_v2,medium,behavior,295,1,Ci sono due dadi adiacenti sul lato esterno di ciascuna ruota,1,295,no,Produzione / Processo,self,self,Nessun alias identificato.,taxonomy_medium_confidence
"L'operatore è a più di un metro dal tecnico che lavora o fuori dall'area delimitata, segnalata o protetta","L'operatore è a più di un metro dal tecnico che lavora o fuori dall'area delimitata, segnalata o protetta",BEH_L_OPERATORE_E_A_PIU_DI_UN_METRO_DAL_TECNICO_CHE_LAVORA_O_F_734426,Interferenze / Coordinamento,Interferenze / Coordinamento,Interferenze / Coordinamento,Interferenza persone-attività/mezzi,Investimento / urto / accesso non controllato,Separazione aree e distanza di sicurezza,2,rule_v2,high,behavior,293,1,"L'operatore è a più di un metro dal tecnico che lavora o fuori dall'area delimitata, segnalata o protetta",1,293,no,Interferenze / Coordinamento,self,self,Nessun alias identificato.,
"Nelle fasi di pulizia macchina, recupero pezzi e/o set-up su SPHERA 2 rimuove o protegge gli utensili","Nelle fasi di pulizia macchina, recupero pezzi e/o set-up su SPHERA 2 rimuove o protegge gli utensili",BEH_NELLE_FASI_DI_PULIZIA_MACCHINA_RECUPERO_PEZZI_E_O_SET_UP_S_FE2A9C,Macchine / Sicurezze / Attrezzaggio,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,285,1,"Nelle fasi di pulizia macchina, recupero pezzi e/o set-up su SPHERA 2 rimuove o protegge gli utensili",1,285,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Dirige il laser verso l'oggetto da classificare,Dirige il laser verso l'oggetto da classificare,BEH_DIRIGE_IL_LASER_VERSO_L_OGGETTO_DA_CLASSIFICARE_BC5EF0,Utensili / Taglio / Aria Compressa,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Laser / attrezzature speciali,Esposizione fascio laser / danno occhi,Direzione e uso corretto laser,1,rule_v2,high,behavior,151,1,Dirige il laser verso l'oggetto da classificare,2,280,yes,Spostamenti / Trasporto / Stoccaggio | Utensili / Taglio / Aria Compressa,semantic_rule,high,Accorpa stessa frase con famiglie diverse.,old_family_conflict
Dirige il laser verso l'oggetto da classificare,Dirige il laser verso l'oggetto da classificare,BEH_DIRIGE_IL_LASER_VERSO_L_OGGETTO_DA_CLASSIFICARE_BC5EF0,Spostamenti / Trasporto / Stoccaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Laser / attrezzature speciali,Esposizione fascio laser / danno occhi,Direzione e uso corretto laser,1,rule_v2,high,behavior,129,1,Dirige il laser verso l'oggetto da classificare,2,280,yes,Spostamenti / Trasporto / Stoccaggio | Utensili / Taglio / Aria Compressa,semantic_rule,high,Accorpa stessa frase con famiglie diverse.,old_family_conflict
Movimenta i pannelli uno per volta,Movimenta i pannelli uno per volta,BEH_MOVIMENTA_I_PANNELLI_UNO_PER_VOLTA_A3DCB3,Movimentazione Manuale / Ergonomia,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Sollevamento / trasporto manuale carichi,Sovraccarico muscolo-scheletrico / strappo,Tecnica di sollevamento e ausili,3,rule_v2,high,behavior,280,1,Movimenta i pannelli uno per volta,1,280,no,Movimentazione Manuale / Ergonomia,self,self,Nessun alias identificato.,
Guanti antitaglio,Guanti antitaglio,BEH_GUANTI_ANTITAGLIO_BD3449,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,277,1,Guanti antitaglio,1,277,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
"Nell'avvitatura asta/frontale, attende la fine dell'avvitatura dei due componenti prima di prendere in mano l'asta successiva","Nell'avvitatura asta/frontale, attende la fine dell'avvitatura dei due componenti prima di prendere in mano l'asta successiva",BEH_NELL_AVVITATURA_ASTA_FRONTALE_ATTENDE_LA_FINE_DELL_AVVITAT_75A25B,Utensili / Taglio / Aria Compressa,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / taglio / aria compressa,Taglio / puntura / proiezione,Uso corretto attrezzatura,2,old_family_fallback_v2,medium,behavior,276,1,"Nell'avvitatura asta/frontale, attende la fine dell'avvitatura dei due componenti prima di prendere in mano l'asta successiva",1,276,no,Utensili / Taglio / Aria Compressa,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Il porta mouse ha la protezione gialla nera,Il porta mouse ha la protezione gialla nera,BEH_IL_PORTA_MOUSE_HA_LA_PROTEZIONE_GIALLA_NERA_A82351,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Protezioni / barriere / ripari,Schiacciamento / trascinamento / contatto con organi mobili,Integrità e rispetto barriere/ripari,1,rule_v2,high,behavior,275,1,Il porta mouse ha la protezione gialla nera,1,275,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Chiude le vernici dopo l'uso,Chiude le vernici dopo l'uso,BEH_CHIUDE_LE_VERNICI_DOPO_L_USO_33954F,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Gestione sostanze / aspirazione / lavaggi,Contatto chimico / inalazione / incendio,Procedura e presidio sostanze pericolose,1,old_family_fallback_v2,medium,behavior,274,1,Chiude le vernici dopo l'uso,1,274,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Guanti antitaglio nuovi,Guanti antitaglio nuovi,BEH_GUANTI_ANTITAGLIO_NUOVI_AAE150,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,274,1,Guanti antitaglio nuovi,1,274,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
Il soffitto è privo di macchie di condensa o altre perdite,Il soffitto è privo di macchie di condensa o altre perdite,BEH_IL_SOFFITTO_E_PRIVO_DI_MACCHIE_DI_CONDENSA_O_ALTRE_PERDITE_AD9D09,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,old_family_fallback_v2,medium,behavior,274,1,Il soffitto è privo di macchie di condensa o altre perdite,1,274,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,taxonomy_medium_confidence
L'attrezzista tiene gli attrezzi non in uso nella propria cassetta/carrello,L'attrezzista tiene gli attrezzi non in uso nella propria cassetta/carrello,BEH_L_ATTREZZISTA_TIENE_GLI_ATTREZZI_NON_IN_USO_NELLA_PROPRIA__349683,Carrelli / Transpallet / Mezzi,Interferenze / Coordinamento,Interferenze / Coordinamento,Interferenza persone-attività/mezzi,Investimento / urto / accesso non controllato,Separazione aree e distanza di sicurezza,2,rule_v2,high,behavior,274,1,L'attrezzista tiene gli attrezzi non in uso nella propria cassetta/carrello,1,274,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
Usa il martello per accoppiare lo stampo,Usa il martello per accoppiare lo stampo,BEH_USA_IL_MARTELLO_PER_ACCOPPIARE_LO_STAMPO_2081E9,Macchine / Sicurezze / Attrezzaggio,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,247,1,Usa il martello per accoppiare lo stampo,2,273,yes,Macchine / Sicurezze / Attrezzaggio | Produzione / Processo,semantic_rule,high,Accorpa stessa frase con/senza suffisso processo.,old_family_conflict
Usa il martello per accoppiare lo stampo,Usa il martello per accoppiare lo stampo,BEH_USA_IL_MARTELLO_PER_ACCOPPIARE_LO_STAMPO_2081E9,Produzione / Processo,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,26,1,Usa il martello per accoppiare lo stampo,2,273,yes,Macchine / Sicurezze / Attrezzaggio | Produzione / Processo,semantic_rule,high,Accorpa stessa frase con/senza suffisso processo.,old_family_conflict
Tiene saldamente i pannelli/vassoi/carrello con due mani quando carica e scarica il forno,Tiene saldamente i pannelli/vassoi/carrello con due mani quando carica e scarica il forno,BEH_TIENE_SALDAMENTE_I_PANNELLI_VASSOI_CARRELLO_CON_DUE_MANI_Q_A79F02,Carrelli / Transpallet / Mezzi,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Forni / essiccatori / parti calde,Ustione / schiacciamento / rilascio energia,Uso corretto macchina e chiusure,1,rule_v2,high,behavior,272,1,Tiene saldamente i pannelli/vassoi/carrello con due mani quando carica e scarica il forno,1,272,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
"Aspetta l'uscita del vassoio, non lo prende da sotto il plexiglass","Aspetta l'uscita del vassoio, non lo prende da sotto il plexiglass",BEH_ASPETTA_L_USCITA_DEL_VASSOIO_NON_LO_PRENDE_DA_SOTTO_IL_PLE_529457,Macchine / Sicurezze / Attrezzaggio,Accessi / Scale / Lavori in quota,Accessi / Scale / Lavori in quota,PLE / piattaforme elevabili,Caduta dall’alto / urto,Uso corretto PLE e accessi,1,rule_v2,high,behavior,270,1,"Aspetta l'uscita del vassoio, non lo prende da sotto il plexiglass",1,270,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Borse e tracolle negli armadietti di reparto,Borse e tracolle negli armadietti di reparto,BEH_BORSE_E_TRACOLLE_NEGLI_ARMADIETTI_DI_REPARTO_2FBEA2,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,old_family_fallback_v2,medium,behavior,268,1,Borse e tracolle negli armadietti di reparto,1,268,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Sabbia il pezzo con due mani,Sabbia il pezzo con due mani,BEH_SABBIA_IL_PEZZO_CON_DUE_MANI_972CB7,Macchine / Sicurezze / Attrezzaggio,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Postura / raggiungibilità / ripetitività,Sovraccarico muscolo-scheletrico,Postura e layout ergonomico,3,rule_v2,high,behavior,267,1,Sabbia il pezzo con due mani,1,267,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Allinea la montatura al posaggio prima di avvitare,Allinea la montatura al posaggio prima di avvitare,BEH_ALLINEA_LA_MONTATURA_AL_POSAGGIO_PRIMA_DI_AVVITARE_150494,Ordine / Pulizia / 5S,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Bloccaggio pezzo / posaggi / morse,Taglio / schiacciamento / perdita controllo pezzo,Bloccaggio e posizionamento sicuro del pezzo,2,rule_v2,high,behavior,266,1,Allinea la montatura al posaggio prima di avvitare,1,266,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
